epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.39,1.66697,2.01398,1.4202,0.6178,0.45686,0.51762,0.27617,1.63919,1.7778,1.45862,0.000329966,0.000329966,0.0673333
2,263.55,1.58232,1.62468,1.39318,0.58964,0.54448,0.568,0.31608,1.49932,1.65404,1.39502,0.000650166,0.000650166,0.0343202
3,382.629,1.56978,1.5121,1.38095,0.59602,0.54399,0.56278,0.30642,1.55939,1.56946,1.35522,0.000957166,0.000957166,0.00129387
4,499.52,1.55581,1.4595,1.36776,0.58754,0.52217,0.54429,0.31685,1.44936,1.52622,1.33618,0.0009406,0.0009406,0.0009406
5,621.241,1.52162,1.4371,1.35531,0.6969,0.57461,0.64499,0.36968,1.47549,1.34081,1.32631,0.0009208,0.0009208,0.0009208
6,741.898,1.49802,1.39052,1.33516,0.70741,0.5538,0.63335,0.36987,1.43909,1.56505,1.3557,0.000901,0.000901,0.000901
7,863.158,1.50693,1.37566,1.35809,0.68223,0.60832,0.66643,0.39492,1.41078,1.3478,1.2993,0.0008812,0.0008812,0.0008812
8,985.041,1.49291,1.35369,1.3247,0.67876,0.58052,0.6355,0.36989,1.43236,1.46402,1.32659,0.0008614,0.0008614,0.0008614
9,1108.62,1.45073,1.30068,1.31953,0.67644,0.61788,0.68313,0.40293,1.41825,1.38441,1.30213,0.0008416,0.0008416,0.0008416
10,1229.25,1.42259,1.28033,1.29611,0.72407,0.60904,0.69711,0.42359,1.38065,1.19527,1.2831,0.0008218,0.0008218,0.0008218
11,1349.57,1.43246,1.24463,1.29248,0.71521,0.62052,0.70736,0.43327,1.32768,1.37764,1.26527,0.000802,0.000802,0.000802
12,1469.91,1.40855,1.25344,1.28728,0.77493,0.59541,0.71444,0.42993,1.32931,1.1921,1.24028,0.0007822,0.0007822,0.0007822
13,1586.04,1.39685,1.21561,1.269,0.73949,0.60682,0.69746,0.41717,1.34517,1.16678,1.25568,0.0007624,0.0007624,0.0007624
14,1700.99,1.39652,1.22127,1.28236,0.73108,0.59039,0.6817,0.42481,1.30454,1.16763,1.22901,0.0007426,0.0007426,0.0007426
15,1821.56,1.39019,1.21144,1.26435,0.72816,0.61693,0.70643,0.42416,1.32935,1.26399,1.27202,0.0007228,0.0007228,0.0007228
16,1937.93,1.35802,1.16016,1.2578,0.75861,0.62448,0.72899,0.44871,1.33118,1.1126,1.26056,0.000703,0.000703,0.000703
